Nombre,Numero,Email,Contraseña
"Alejandro García",1,"alejandro.garcía.1@cabrerizosfc.com","CFCalejandro12026"
"Carlos Rodríguez",2,"carlos.rodríguez.2@cabrerizosfc.com","CFCcarlos22026"
"David López",3,"david.lópez.3@cabrerizosfc.com","CFCdavid32026"
"Fernando Martín",4,"fernando.martín.4@cabrerizosfc.com","CFCfernando42026"
"Gabriel Sánchez",5,"gabriel.sánchez.5@cabrerizosfc.com","CFCgabriel52026"
"Hugo Fernández",6,"hugo.fernández.6@cabrerizosfc.com","CFChugo62026"
"Iván Pérez",7,"iván.pérez.7@cabrerizosfc.com","CFCiván72026"
"Javier González",8,"javier.gonzález.8@cabrerizosfc.com","CFCjavier82026"
"Kevin Ruiz",9,"kevin.ruiz.9@cabrerizosfc.com","CFCkevin92026"
"Luis Jiménez",10,"luis.jiménez.10@cabrerizosfc.com","CFCluis102026"
"Mario Moreno",11,"mario.moreno.11@cabrerizosfc.com","CFCmario112026"
"Nicolás Herrera",12,"nicolás.herrera.12@cabrerizosfc.com","CFCnicolás122026"
"Óscar Romero",13,"óscar.romero.13@cabrerizosfc.com","CFCóscar132026"
"Pablo Torres",14,"pablo.torres.14@cabrerizosfc.com","CFCpablo142026"
"Raúl Vargas",15,"raúl.vargas.15@cabrerizosfc.com","CFCraúl152026"
"Sergio Castro",16,"sergio.castro.16@cabrerizosfc.com","CFCsergio162026"
"Tomás Ortega",17,"tomás.ortega.17@cabrerizosfc.com","CFCtomás172026"
"Víctor Ramos",18,"víctor.ramos.18@cabrerizosfc.com","CFCvíctor182026"
"William Delgado",19,"william.delgado.19@cabrerizosfc.com","CFCwilliam192026"
"Xavier Mendoza",20,"xavier.mendoza.20@cabrerizosfc.com","CFCxavier202026"
