Nombre Completo,Numero,Posicion,Email,Contraseña
"Alejandro García Martín",1,"Portero","alejandro.garcía1@cabrerizosfc.com","alejandro1cfc"
"Carlos Rodríguez Sánchez",2,"Defensa","carlos.rodríguez2@cabrerizosfc.com","carlos2cfc"
"David López Fernández",3,"Defensa","david.lópez3@cabrerizosfc.com","david3cfc"
"Fernando Martín González",4,"Defensa","fernando.martín4@cabrerizosfc.com","fernando4cfc"
"Gabriel Sánchez Pérez",5,"Defensa","gabriel.sánchez5@cabrerizosfc.com","gabriel5cfc"
"Hugo Fernández Ruiz",6,"Centrocampista","hugo.fernández6@cabrerizosfc.com","hugo6cfc"
"Iván Pérez Jiménez",7,"Centrocampista","iván.pérez7@cabrerizosfc.com","iván7cfc"
"Javier González Moreno",8,"Centrocampista","javier.gonzález8@cabrerizosfc.com","javier8cfc"
"Kevin Ruiz Herrera",9,"Delantero","kevin.ruiz9@cabrerizosfc.com","kevin9cfc"
"Luis Jiménez Torres",10,"Delantero","luis.jiménez10@cabrerizosfc.com","luis10cfc"
"Mario Moreno Vargas",11,"Extremo","mario.moreno11@cabrerizosfc.com","mario11cfc"
"Nicolás Herrera Castro",12,"Portero","nicolás.herrera12@cabrerizosfc.com","nicolás12cfc"
"Óscar Romero Ortega",13,"Defensa","óscar.romero13@cabrerizosfc.com","óscar13cfc"
"Pablo Torres Ramos",14,"Centrocampista","pablo.torres14@cabrerizosfc.com","pablo14cfc"
"Raúl Vargas Delgado",15,"Centrocampista","raúl.vargas15@cabrerizosfc.com","raúl15cfc"
"Sergio Castro Mendoza",16,"Defensa","sergio.castro16@cabrerizosfc.com","sergio16cfc"
"Tomás Ortega Silva",17,"Extremo","tomás.ortega17@cabrerizosfc.com","tomás17cfc"
"Víctor Ramos Guerrero",18,"Delantero","víctor.ramos18@cabrerizosfc.com","víctor18cfc"
"William Delgado Vega",19,"Centrocampista","william.delgado19@cabrerizosfc.com","william19cfc"
"Xavier Mendoza Blanco",20,"Defensa","xavier.mendoza20@cabrerizosfc.com","xavier20cfc"
